epoch,accuracy,loss,val_accuracy,val_loss
0,0.25,1.5693448781967163,0.30380576848983765,1.3870943784713745
1,0.28333333134651184,1.5726302862167358,0.3326771557331085,1.324706792831421
2,0.3333333432674408,1.4083542823791504,0.4960629940032959,1.2031201124191284
3,0.44999998807907104,1.3447514772415161,0.6312335729598999,1.1061145067214966
4,0.3916666805744171,1.3235318660736084,0.5859580039978027,1.1425625085830688
5,0.5,1.2287163734436035,0.6646981835365295,0.9918229579925537
6,0.40833333134651184,1.2365750074386597,0.47047245502471924,1.1801459789276123
7,0.5166666507720947,1.1213562488555908,0.6896325349807739,0.9777297973632812
8,0.4833333194255829,1.1866499185562134,0.7224409580230713,0.9373795390129089
9,0.5166666507720947,1.1337149143218994,0.6437007784843445,0.9993220567703247
10,0.34166666865348816,1.3503669500350952,0.7690288424491882,0.8996859192848206
11,0.46666666865348816,1.1590025424957275,0.7795275449752808,0.8810625672340393
12,0.42500001192092896,1.177272081375122,0.7847769260406494,0.8649200797080994
13,0.5916666388511658,0.9881935715675354,0.8038057684898376,0.8323599100112915
14,0.6583333611488342,0.956369936466217,0.8280839920043945,0.8005164265632629
15,0.800000011920929,0.7842634320259094,0.836614191532135,0.7655330300331116
16,0.7833333611488342,0.7367905378341675,0.8576115369796753,0.7175646424293518
17,0.7916666865348816,0.6548909544944763,0.8641732335090637,0.6867987513542175
18,0.875,0.5892589092254639,0.8746719360351562,0.6397279500961304
19,0.8666666746139526,0.5171297192573547,0.8792650699615479,0.6033264994621277
20,0.8999999761581421,0.4255503714084625,0.8818897604942322,0.5630350708961487
21,0.8833333253860474,0.3581398129463196,0.8910760879516602,0.49922341108322144
22,0.8916666507720947,0.35721829533576965,0.8897637724876404,0.4751961827278137
23,0.949999988079071,0.26667168736457825,0.8897637724876404,0.44087404012680054
24,0.9333333373069763,0.2625060975551605,0.8877952694892883,0.41730284690856934
25,0.925000011920929,0.22083039581775665,0.9081364870071411,0.36032408475875854
26,0.9750000238418579,0.13576039671897888,0.9330708384513855,0.3021974563598633
27,0.9583333134651184,0.15275105834007263,0.913385808467865,0.3267037570476532
28,0.9833333492279053,0.10983497649431229,0.8956692814826965,0.33360394835472107
29,0.9666666388511658,0.1541731208562851,0.9035432934761047,0.29587289690971375
30,0.9666666388511658,0.1266222596168518,0.8766404390335083,0.3391363322734833
31,0.9916666746139526,0.0636449083685875,0.8937007784843445,0.2971651256084442
32,0.9833333492279053,0.06669073551893234,0.9009186625480652,0.28028351068496704
33,0.9666666388511658,0.12364605814218521,0.8989501595497131,0.2851318418979645
34,0.9916666746139526,0.0485713854432106,0.8996062874794006,0.27885207533836365
35,0.9833333492279053,0.06561435759067535,0.943569540977478,0.1785413920879364
36,1.0,0.03788499906659126,0.9501312375068665,0.14678806066513062
37,0.9833333492279053,0.08632263541221619,0.941601037979126,0.171630397439003
38,0.9833333492279053,0.03643399477005005,0.9632545709609985,0.11867251992225647
39,0.9833333492279053,0.042365655303001404,0.9658792614936829,0.10456065088510513
40,0.9750000238418579,0.0762140303850174,0.9750655889511108,0.09172223508358002
41,0.9833333492279053,0.05212320387363434,0.9822834730148315,0.07044678181409836
42,0.9916666746139526,0.020979825407266617,0.9835957884788513,0.059516891837120056
43,0.9916666746139526,0.017680246382951736,0.9809711575508118,0.06543853133916855
44,0.9916666746139526,0.026170048862695694,0.9783464670181274,0.07505905628204346
45,0.9916666746139526,0.03363776579499245,0.9724409580230713,0.08262781798839569
46,0.9916666746139526,0.023526396602392197,0.9685039520263672,0.09103134274482727
47,1.0,0.008240533992648125,0.9737532734870911,0.0775628462433815
48,1.0,0.006002624053508043,0.9783464670181274,0.0653589516878128
49,1.0,0.005453859455883503,0.9776902794837952,0.06362736970186234
0,0.21666666865348816,1.6521319150924683,0.29527559876441956,1.3530791997909546
1,0.28333333134651184,1.5663102865219116,0.2263779491186142,1.3963449001312256
2,0.2750000059604645,1.5077261924743652,0.5465879440307617,1.1873067617416382
3,0.25,1.5037204027175903,0.5387139320373535,1.1891769170761108
4,0.36666667461395264,1.3377879858016968,0.5813648104667664,1.152441143989563
5,0.4000000059604645,1.3333908319473267,0.6292650699615479,1.1277767419815063
6,0.36666667461395264,1.3105480670928955,0.5275590419769287,1.1642498970031738
7,0.4749999940395355,1.225817322731018,0.6122047305107117,1.1233621835708618
8,0.4583333432674408,1.1330115795135498,0.5452755689620972,1.1490862369537354
9,0.5583333373069763,1.0973172187805176,0.7618110179901123,0.9549524784088135
